method,hop,top_n,strategy,k1,b,query_id,recall_at_5,recall_at_10,mrr_at_10,ndcg_at_10
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000081,0.500000,0.500000,1.000000,0.613147
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000082,1.000000,1.000000,1.000000,1.000000
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000083,0.666667,0.666667,1.000000,0.671386
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000084,1.000000,1.000000,1.000000,1.000000
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000085,0.333333,0.666667,1.000000,0.617320
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000086,1.000000,1.000000,1.000000,0.877215
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000087,0.500000,0.500000,1.000000,0.613147
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000088,1.000000,1.000000,1.000000,1.000000
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000089,0.500000,1.000000,0.500000,0.605260
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000090,0.000000,1.000000,0.111111,0.361815
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000091,1.000000,1.000000,1.000000,1.000000
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000092,0.333333,0.333333,0.500000,0.296082
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000093,0.750000,0.750000,1.000000,0.831872
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000094,0.500000,0.500000,0.200000,0.237198
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000095,0.250000,0.500000,0.500000,0.385359
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000096,0.500000,0.500000,0.500000,0.386853
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000097,0.500000,0.500000,1.000000,0.613147
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000098,1.000000,1.000000,0.500000,0.650921
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000099,0.666667,0.666667,1.000000,0.703918
query_expansion_bm25,2,5,edge_weight_log_passage_count,1.500000,0.750000,q_000100,0.500000,0.500000,0.250000,0.264068
